Rank,Experiment,CAGR,ΔCAGR,MDD,ΔMDD,Final,ΔFinal,Sharpe,Calmar
1,E03_Ensemble_SGOV,0.3307367687556017,0.020689990437618933,-0.5441707031985125,0.017613124464353258,92.84254936998514,0.2820750830029439,0.8593181451858082,0.6077812840926675
2,E02_V4_Ensemble_160_165_170,0.3285628443169002,0.01851606599891742,-0.5441707031985125,0.017613124464353258,90.46646581107302,0.24926342986883654,0.8556876525396422,0.6037863530426795
3,E08_MA200Guard_SGOV,0.3222299401986928,0.012183161880710003,-0.5639627479870266,-0.0021789203241608934,83.86528401151011,0.15810683452519148,0.847996564637626,0.5713674198319662
4,E07_MA200Guard_CASH,0.3200080696104646,0.0099612912924818,-0.5639627479870266,-0.0021789203241608934,81.65826579303531,0.12762982710950688,0.8442591557573625,0.5674276727544175
5,E04_Hysteresis_0p25,0.315420188315336,0.005373409997353251,-0.5389814319248287,0.022802395738036996,77.27212068328599,0.06706096731618905,0.8333068248602321,0.5852153147259578
6,E01_V1_OFF10_SGOV,0.3123017615086683,0.002254983190685511,-0.5617838276628657,0.0,74.41790329505693,0.027646700692170345,0.8279304279754536,0.555910914715909
7,E09_BuyConfirm_2days,0.3120427342445133,0.0019959559265305127,-0.5588027161812622,0.0029811114816035156,74.18532057169026,0.024434935005113623,0.8291410877233939,0.5584130592223073
8,E00_V0_Base_OFF10_CASH,0.3100467783179828,0.0,-0.5617838276628657,0.0,72.41584412710402,0.0,0.8241113854814629,0.551896945143188
9,E05_Hysteresis_0p50,0.2994628911149395,-0.010583887203043263,-0.5789806383213025,-0.017196810658436812,63.6751719018555,-0.12070110250882293,0.803967988157913,0.5172243617389396
10,E10_BuySellConfirm_2days,0.2900674372155563,-0.019979341102426496,-0.5734891625604948,-0.011705334897629038,56.754047476662834,-0.21627582802116707,0.7885381776011318,0.5057941041474492
11,E06_Hysteresis_1p00,0.2724265843141593,-0.03762019400382349,-0.6546372716703562,-0.09285344400749052,45.6221987102143,-0.3699970046591132,0.758550724929549,0.4161489058193133
