Date,asset,side,notional,cost,realized_gain
2010-02-11,TQQQ,BUY,0.1,0.0,0.0
2010-10-01,TQQQ,BUY,0.9311295349915344,0.0009311295349915344,0.0
2011-06-09,TQQQ,SELL,1.288936629026125,0.001288936629026125,0.3895046765074263
2011-07-01,TQQQ,BUY,1.3598496489446836,0.0013598496489446838,0.0
2011-08-05,TQQQ,SELL,1.0931351683371744,0.0010931351683371743,-0.22033676337042585
2011-09-20,TQQQ,BUY,1.095352563766252,0.001095352563766252,0.0
2011-09-22,TQQQ,SELL,1.028596061499062,0.0010285960614990618,-0.18817057379983113
2011-10-13,TQQQ,BUY,1.0732033774715706,0.0010732033774715707,0.0
2011-11-21,TQQQ,SELL,0.949854632491246,0.0009498546324912461,-0.18142625079783978
2011-12-05,TQQQ,BUY,0.9924583647889624,0.0009924583647889626,0.0
2011-12-15,TQQQ,SELL,0.8722130308335094,0.0008722130308335094,-0.12772336858850197
2011-12-28,TQQQ,BUY,0.8509981868915726,0.0008509981868915726,0.0
2012-06-06,TQQQ,SELL,1.106346362521105,0.0011063463625211052,0.29854933483420387
2012-06-07,TQQQ,BUY,1.0929565945603177,0.0010929565945603178,0.0
2012-10-25,TQQQ,SELL,1.2282920995200963,0.0012282920995200963,0.15083217277160763
2012-11-30,TQQQ,BUY,1.2271761156644356,0.0012271761156644357,0.0
2012-12-10,TQQQ,SELL,1.1769510120137454,0.0011769510120137455,-0.030275909732226172
2012-12-12,TQQQ,BUY,1.1724087765455216,0.0011724087765455217,0.0
2012-12-18,TQQQ,SELL,1.161155980301762,0.001161155980301762,0.03690000863975562
2012-12-19,TQQQ,BUY,1.1434621070241133,0.0011434621070241134,0.0
2012-12-28,TQQQ,SELL,1.0632772686048648,0.001063277268604865,-0.10772325858032206
2013-01-03,TQQQ,BUY,0.9950443787624423,0.0009950443787624425,0.0
2014-10-17,TQQQ,SELL,2.469928639236836,0.002469928639236836,1.5131233214065425
2014-10-21,TQQQ,BUY,2.672340962240923,0.0026723409622409233,0.0
2015-08-24,TQQQ,SELL,2.7287345368932674,0.0027287345368932677,0.24486607939123356
2015-10-20,TQQQ,BUY,2.7643627510562077,0.002764362751056208,0.0
2016-01-08,TQQQ,SELL,2.43024071979452,0.0024302407197945197,-0.2298533936048596
2016-03-18,TQQQ,BUY,2.467538805295774,0.002467538805295774,0.0
2016-05-02,TQQQ,SELL,2.3464296985068316,0.0023464296985068315,-0.07058279375299306
2016-05-26,TQQQ,BUY,2.380854071407659,0.0023808540714076593,0.0
2016-06-20,TQQQ,SELL,2.200440371326858,0.0022004403713268583,-0.12282204364942172
2016-06-24,TQQQ,BUY,1.937792350843898,0.001937792350843898,0.0
2016-06-27,TQQQ,SELL,1.9247656900123764,0.0019247656900123766,-0.17883865920943767
2016-07-05,TQQQ,BUY,1.9202183438473157,0.0019202183438473159,0.0
2018-10-15,TQQQ,SELL,6.93834592414206,0.00693834592414206,4.969904172012087
2018-10-17,TQQQ,BUY,7.014890194663596,0.007014890194663596,0.0
2018-10-25,TQQQ,SELL,5.692375831203107,0.005692375831203108,-0.012937454222723768
2018-11-09,TQQQ,BUY,5.429839999870425,0.005429839999870426,0.0
2018-11-13,TQQQ,SELL,4.948220926880134,0.004948220926880134,-0.48902646212192935
2019-02-20,TQQQ,BUY,4.081329592764727,0.004081329592764728,0.0
2020-03-11,TQQQ,SELL,5.667628065071812,0.005667628065071812,0.964494097343662
2020-04-15,TQQQ,BUY,5.627647799434273,0.0056276477994342735,0.0
2022-01-20,TQQQ,SELL,23.068458850546968,0.023068458850546966,17.4853224961388
2022-08-17,TQQQ,BUY,21.855289685835416,0.02185528968583542,0.0
2022-08-22,TQQQ,SELL,20.5386302338343,0.0205386302338343,-1.479358581162945
2023-01-26,TQQQ,BUY,17.975150682367346,0.017975150682367345,0.0
2023-10-30,TQQQ,SELL,25.18160916313081,0.02518160916313081,7.43524312528652
2023-11-02,TQQQ,BUY,26.67997437354513,0.02667997437354513,0.0
2024-08-07,TQQQ,SELL,39.10470747746924,0.03910470747746925,13.344576555622762
2024-08-12,TQQQ,BUY,39.770743233629474,0.039770743233629474,0.0
2025-03-07,TQQQ,SELL,42.47504780282782,0.04247504780282782,6.591736595939465
2025-05-14,TQQQ,BUY,44.166340364132715,0.04416634036413272,0.0
