date,trigger,portfolio_value
2011-08-04,TQQQ_STOP (-19.4%),1.4066
2011-08-08,QQQ_CRASH (-6.0%),1.3831
2011-11-21,TQQQ_STOP (-16.1%),1.2099
2018-10-24,TQQQ_STOP (-19.6%),9.1993
2020-02-27,QQQ_CRASH (-5.0%),14.2549
2020-03-09,TQQQ_STOP (-30.0%),14.0105
2020-03-12,QQQ_CRASH (-9.2%),13.7476
2020-03-16,QQQ_CRASH (-12.0%),13.7316
2020-09-03,QQQ_CRASH (-5.1%),43.0076
2022-05-05,QQQ_CRASH (-5.0%),71.6721
2022-09-13,QQQ_CRASH (-5.5%),65.2462
2025-04-03,QQQ_CRASH (-5.4%),175.2451
2025-04-04,QQQ_CRASH (-6.2%),172.4606
