date,trigger,portfolio_value
2011-08-04,TQQQ_STOP (-19.4%),1.4066
2011-08-08,QQQ_CRASH (-6.0%),1.3831
2011-11-21,TQQQ_STOP (-16.1%),1.2052
2018-10-24,TQQQ_STOP (-19.6%),8.4325
2020-02-27,QQQ_CRASH (-5.0%),13.6686
2020-03-09,TQQQ_STOP (-30.0%),13.4342
2020-03-12,QQQ_CRASH (-9.2%),13.1821
2020-03-16,QQQ_CRASH (-12.0%),13.1668
2020-09-03,QQQ_CRASH (-5.1%),41.2387
2022-05-05,QQQ_CRASH (-5.0%),68.7241
2022-09-13,QQQ_CRASH (-5.5%),62.5625
2025-04-03,QQQ_CRASH (-5.4%),168.037
2025-04-04,QQQ_CRASH (-6.2%),165.3669
