Experiment,Description,t+0,Cost,Tax,Overheat,AnnVol,QLD,CAGR,MDD,Sharpe,Trades,Rank
User_t0_ideal,"User: t+0, no cost, no tax",Yes,0.0bps,No,2.51,No,Yes,0.5981033038328987,-0.4087005747017042,1.3190278488983724,0,1
User_AH_20bps,"User: AH 0.2% slip, no tax",Yes,20.0bps,No,2.51,No,Yes,0.5701566325917959,-0.4135890616128314,1.2774801958226691,0,2
User_AH_20bps_tax,"User: AH 0.2% slip, 22% tax",Yes,20.0bps,Yes,2.51,No,Yes,0.5701566325917959,-0.4135890616128314,1.2774801958226691,283,3
User_AH_50bps_tax,"User: AH 0.5% slip, 22% tax",Yes,50.0bps,Yes,2.51,No,Yes,0.5290488450876307,-0.42086490621647465,1.214721139110089,283,4
E03_t0_ideal,"E03: t+0, no cost, no tax",Yes,0.0bps,No,2.51,No,Yes,0.489973849241244,-0.48169244568954717,1.1096389909065352,0,5
E03_AH_20bps,"E03: AH 0.2% slip, no tax",Yes,20.0bps,No,2.51,No,Yes,0.4793098897494048,-0.4827296216089171,1.0939960160750946,0,6
E03_AH_20bps_tax,"E03: AH 0.2% slip, 22% tax",Yes,20.0bps,Yes,2.51,No,Yes,0.47403193864662163,-0.4827296216089171,1.0856511518419072,117,7
E03_AH_50bps,"E03: AH 0.5% slip, no tax",Yes,50.0bps,No,2.51,No,Yes,0.4634177945591469,-0.48428538548797206,1.070370309132376,0,8
E03_AH_50bps_tax,"E03: AH 0.5% slip, 22% tax",Yes,50.0bps,Yes,2.51,No,Yes,0.4569673619125201,-0.48428538548797195,1.0600552266243475,117,9
E03_AH_100bps_tax,"E03: AH 1.0% slip, 22% tax",Yes,100.0bps,Yes,2.51,No,Yes,0.42865060259703136,-0.48687832528639674,1.016649831773638,117,10
User_t1_baseline,"User: t+1, 10bps, 22% tax",No,10.0bps,Yes,2.51,No,Yes,0.33925140666610165,-0.502649739102021,0.8926240713127932,283,11
E03_t1_baseline,"E03: t+1, 10bps, 22% tax",No,10.0bps,Yes,2.51,No,Yes,0.33250543050316095,-0.5167906564452447,0.8566414248344387,117,12
