Experiment,Period,CAGR,MDD,Start,End,Days
E00_V0_Base_OFF10_CASH,P1_2010_2014,0.273324550011554,-0.46460672161616157,2010-01-01,2014-12-31,1231
E01_V1_OFF10_SGOV,P1_2010_2014,0.273324550011554,-0.46460672161616157,2010-01-01,2014-12-31,1231
E02_V4_Ensemble_160_165_170,P1_2010_2014,0.27863259085101877,-0.4625023135857692,2010-01-01,2014-12-31,1231
E03_Ensemble_SGOV,P1_2010_2014,0.27863259085101877,-0.4625023135857692,2010-01-01,2014-12-31,1231
E04_Hysteresis_0p25,P1_2010_2014,0.2725436799182832,-0.4907640106440224,2010-01-01,2014-12-31,1231
E05_Hysteresis_0p50,P1_2010_2014,0.3323782732312046,-0.45831589349966784,2010-01-01,2014-12-31,1231
E06_Hysteresis_1p00,P1_2010_2014,0.28768576583270056,-0.5194799627621964,2010-01-01,2014-12-31,1231
E07_MA200Guard_CASH,P1_2010_2014,0.2712798551234523,-0.48903496836143634,2010-01-01,2014-12-31,1231
E08_MA200Guard_SGOV,P1_2010_2014,0.2712798551234523,-0.48903496836143634,2010-01-01,2014-12-31,1231
E09_BuyConfirm_2days,P1_2010_2014,0.2541403448104713,-0.4945607592230651,2010-01-01,2014-12-31,1231
E10_BuySellConfirm_2days,P1_2010_2014,0.23601477630203682,-0.5734891625604948,2010-01-01,2014-12-31,1231
E00_V0_Base_OFF10_CASH,P2_2015_2019,0.19356282978906258,-0.5617838276628656,2015-01-01,2019-12-31,1258
E01_V1_OFF10_SGOV,P2_2015_2019,0.19356282978906258,-0.5617838276628656,2015-01-01,2019-12-31,1258
E02_V4_Ensemble_160_165_170,P2_2015_2019,0.20529554930558547,-0.5441707031985125,2015-01-01,2019-12-31,1258
E03_Ensemble_SGOV,P2_2015_2019,0.20529554930558547,-0.5441707031985125,2015-01-01,2019-12-31,1258
E04_Hysteresis_0p25,P2_2015_2019,0.23381015216582512,-0.4916027141760325,2015-01-01,2019-12-31,1258
E05_Hysteresis_0p50,P2_2015_2019,0.18609841348152845,-0.5580575600003242,2015-01-01,2019-12-31,1258
E06_Hysteresis_1p00,P2_2015_2019,0.14999940767087083,-0.6546372716703562,2015-01-01,2019-12-31,1258
E07_MA200Guard_CASH,P2_2015_2019,0.18131873553032052,-0.5639627479870266,2015-01-01,2019-12-31,1258
E08_MA200Guard_SGOV,P2_2015_2019,0.18131873553032052,-0.5639627479870266,2015-01-01,2019-12-31,1258
E09_BuyConfirm_2days,P2_2015_2019,0.2279925607382316,-0.5588027161812622,2015-01-01,2019-12-31,1258
E10_BuySellConfirm_2days,P2_2015_2019,0.2224846924082826,-0.5290115087898555,2015-01-01,2019-12-31,1258
E00_V0_Base_OFF10_CASH,P3_2020_2025,0.43952040764349154,-0.4913033854162183,2020-01-01,2025-12-31,1507
E01_V1_OFF10_SGOV,P3_2020_2025,0.4461000712162062,-0.48246857488826034,2020-01-01,2025-12-31,1507
E02_V4_Ensemble_160_165_170,P3_2020_2025,0.4769240772136434,-0.4850173659421677,2020-01-01,2025-12-31,1507
E03_Ensemble_SGOV,P3_2020_2025,0.48334089051933904,-0.4813654302656495,2020-01-01,2025-12-31,1507
E04_Hysteresis_0p25,P3_2020_2025,0.4162045603495699,-0.5389814319248287,2020-01-01,2025-12-31,1507
E05_Hysteresis_0p50,P3_2020_2025,0.36479730044431125,-0.5789806383213025,2020-01-01,2025-12-31,1507
E06_Hysteresis_1p00,P3_2020_2025,0.3619615756055088,-0.5184461239937346,2020-01-01,2025-12-31,1507
E07_MA200Guard_CASH,P3_2020_2025,0.4833699836319676,-0.4813654302656496,2020-01-01,2025-12-31,1507
E08_MA200Guard_SGOV,P3_2020_2025,0.4899998896312039,-0.4813654302656496,2020-01-01,2025-12-31,1507
E09_BuyConfirm_2days,P3_2020_2025,0.42904769232819695,-0.4978896383489032,2020-01-01,2025-12-31,1507
E10_BuySellConfirm_2days,P3_2020_2025,0.38800112102011464,-0.5390094935991765,2020-01-01,2025-12-31,1507
