Experiment,Description,Final,CAGR,MDD,Sharpe,Sortino,Calmar,TradesPerYear,TotalTaxPaid,CAGR_Delta,MDD_Delta,Rank
E23_Ensemble_SHV,Ensemble + SHV (T-Bill proxy),93.46794060461318,0.33130028347406193,-0.5405721380341445,0.8602648080456553,0.8737153131042881,0.6128696989061908,3.279279279279279,9.664538592551791,0.021253584087767008,0.021211732835510255,1
E03_Ensemble_SGOV,Ensemble + SGOV,92.8422221334442,0.3307364729661577,-0.5441709078090953,0.8593176418819168,0.8725033374784797,0.6077805120044857,3.279279279279279,9.642953406822837,0.02068977357986279,0.017612963060559483,2
E26_MonthlyRebalance,Monthly rebalance only (signal checked monthly),92.8422221334442,0.3307364729661577,-0.5441709078090953,0.8593176418819168,0.8725033374784797,0.6077805120044857,3.279279279279279,9.642953406822837,0.02068977357986279,0.017612963060559483,3
E30_Deadband_5pct,E03 + Deadband 5%p (skip small rebalances),92.8422221334442,0.3307364729661577,-0.5441709078090953,0.8593176418819168,0.8725033374784797,0.6077805120044857,3.279279279279279,9.642953406822837,0.02068977357986279,0.017612963060559483,4
E31_Deadband_3pct,E03 + Deadband 3%p,92.8422221334442,0.3307364729661577,-0.5441709078090953,0.8593176418819168,0.8725033374784797,0.6077805120044857,3.279279279279279,9.642953406822837,0.02068977357986279,0.017612963060559483,5
E21_Ensemble_165_170_175,Ensemble shifted +5: MA(165/170/175),91.14071103617167,0.32918510980301363,-0.544140769543322,0.8550719719634151,0.8610311641996272,0.6049631423120289,3.0270270270270268,11.170032631840805,0.01913841041671871,0.017643101326332733,6
E02_V4_Ensemble_160_165_170,Ensemble: MA3 vs MA(160/165/170) majority vote,90.46614015305914,0.32856254271641117,-0.5441709078090953,0.8556871407777437,0.8670486094720448,0.6037855717778957,3.279279279279279,9.51662776646889,0.018515843330116244,0.017612963060559483,7
E08_MA200Guard_SGOV,MA200 Guard + SGOV,83.86310933996673,0.3222277779842031,-0.5639631798580098,0.8479929169897812,0.8242328389861707,0.5713631483270434,6.0540540540540535,8.07265364974115,0.01218107859790818,-0.0021793089883550554,8
E07_MA200Guard_CASH,OFF0 when OFF and QQQ<MA200,81.65612212681569,0.3200058842956981,-0.5639631798580098,0.8442554632579193,0.8167041332456031,0.5674233633058574,6.0540540540540535,7.935738864839964,0.009959184909403174,-0.0021793089883550554,9
E20_Ensemble_155_160_165,Ensemble shifted -5: MA(155/160/165),81.4048537982215,0.3197493610189901,-0.5331451430909415,0.8411979404932985,0.8398286299237337,0.599741674781512,3.279279279279279,10.63267750796537,0.009702661632695175,0.028638727778713235,10
E04_Hysteresis_0p25,Hysteresis band ±0.25%,77.27204294289844,0.31542010485816885,-0.5389817051316345,0.8333066916416489,0.8264671565547276,0.5852148632412939,3.0270270270270268,11.437972833784372,0.005373405471873927,0.022802165738020297,11
E01_V1_OFF10_SGOV,SGOV as OFF asset,74.41783478710451,0.31230168532313396,-0.5617838708696548,0.8279303018379467,0.8151373366000978,0.5559107363472069,3.279279279279279,11.201569784584628,0.002254985936839038,0.0,12
E09_BuyConfirm_2days,"Buy: 2-day confirm, Sell: immediate",74.18533827678748,0.3120427539916135,-0.5588027301884149,0.829141132283208,0.8138061256560437,0.5584130805631536,3.153153153153153,11.4174436880029,0.001996054605318598,0.002981140681239891,13
E00_V0_Base_OFF10_CASH,"Baseline: MA3/MA161, OFF=10%TQQQ+90%CASH",72.41577494035438,0.3100466993862949,-0.5617838708696548,0.8241112560167138,0.8093936503230852,0.5518967621949261,3.279279279279279,11.09183540353859,0.0,0.0,14
E22_Ensemble_5Window,5-window vote: MA(158/161/164/167/170) 3/5,69.95393998613874,0.3071923778473624,-0.563324781598275,0.8196958590370644,0.8020716875532888,0.5453201916233665,3.279279279279279,10.378742844206442,-0.0028543215389325027,-0.0015409107286202817,15
E05_Hysteresis_0p50,Hysteresis band ±0.50%,63.6752267317304,0.29946296167937914,-0.578980840000547,0.8039681157051874,0.767322095058617,0.5172243034486188,2.5225225225225225,11.070214935026428,-0.010583737706915786,-0.017196969130892192,16
E10_BuySellConfirm_2days,Buy/Sell: both 2-day confirm,56.75418805015366,0.29006763872414476,-0.5734888320148894,0.7885385420283597,0.7483485773268312,0.5057947470485594,2.900900900900901,7.672585154811362,-0.01997906066215016,-0.011704961145234671,17
E06_Hysteresis_1p00,Hysteresis band ±1.00%,45.622228583902555,0.2724266368578161,-0.6546371192554714,0.7585508283796408,0.699492889841237,0.4161490829723359,2.144144144144144,9.894667489751368,-0.037620062528478826,-0.09285324838581666,18
