date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2021-01-04,0.7914153018,-0.0135985433,0.0000000000,1.0000000000
2021-01-05,0.7850210295,0.0068944464,0.0054563704,1.0054563704
2021-01-06,0.7976932076,0.0059634471,0.0046814314,1.0101633454
2021-01-07,0.7923599225,0.0148643077,0.0118571573,1.0221410111
2021-01-08,0.7899201114,0.0056787778,0.0044996360,1.0267402736
2021-01-11,0.7786375690,-0.0067108672,-0.0053010490,1.0212974731
2021-01-12,0.7689983591,0.0002075381,0.0001615970,1.0214625117
2021-01-13,0.7739695995,0.0026834158,0.0020635424,1.0235703428
2021-01-14,0.7744309746,-0.0035011969,-0.0027098200,1.0207966515
2021-01-15,0.7743142256,-0.0072823708,-0.0056396935,1.0150396713
2021-01-19,0.7800586275,0.0078502876,0.0060785894,1.0212096806
2021-01-20,0.7957363712,0.0137971850,0.0107626132,1.0322005654
2021-01-21,0.7929042323,0.0009240789,0.0007353232,1.0329595665
2021-01-22,0.7911626275,-0.0035187617,-0.0027900410,1.0300775669
2021-01-25,0.7894951131,0.0039334040,0.0031119622,1.0332831294
2021-01-26,0.7862052998,-0.0015638815,-0.0012346768,1.0320073586
2021-01-27,0.7841099873,-0.0244165002,-0.0191963818,1.0121965513
2021-01-28,0.7931140788,0.0086063353,0.0067483135,1.0190271710
2021-01-29,0.7980018532,-0.0200554048,-0.0159062239,1.0028182966
2021-02-01,0.8020631880,0.0166430371,0.0132811745,1.0161369014
2021-02-02,0.8171591911,0.0141601714,0.0113573522,1.0276775261
2021-02-03,0.8091382830,0.0007988888,0.0006528193,1.0283484139
2021-02-04,0.8061926004,0.0113702105,0.0092000726,1.0378092939
2021-02-05,0.7951960744,0.0039106330,0.0031527234,1.0410812195
2021-02-08,0.7885078582,0.0072182684,0.0057399387,1.0470569619
2021-02-09,0.7897953335,-0.0006744977,-0.0005318468,1.0465000880
2021-02-10,0.7804734037,-0.0004517830,-0.0003568161,1.0461266799
2021-02-11,0.7824698848,0.0016473029,0.0012856761,1.0474716600
2021-02-12,0.7802109995,0.0049419363,0.0038669163,1.0515221453
2021-02-16,0.7841618122,-0.0008791149,-0.0006858951,1.0508009113
2021-02-17,0.7739098355,0.0002382467,0.0001868240,1.0509972262
2021-02-18,0.7656367521,-0.0042549391,-0.0032929392,1.0475363562
2021-02-19,0.7705979072,-0.0017886219,-0.0013694346,1.0461018236
2021-02-22,0.7723157820,-0.0076983195,-0.0059323089,1.0398960244
2021-02-23,0.7682493188,0.0012376645,0.0009558678,1.0408900276
2021-02-24,0.7787417212,0.0110484669,0.0084879772,1.0497250784
2021-02-25,0.7618054864,-0.0241082417,-0.0187740937,1.0300174414
2021-02-26,0.7397696014,-0.0051529925,-0.0039255779,1.0259740277
2021-03-01,0.7599631540,0.0242342166,0.0179277368,1.0443674200
2021-03-02,0.7506286034,-0.0077996996,-0.0059274843,1.0381769485
2021-03-03,0.7481752890,-0.0132518931,-0.0099472500,1.0278499428
2021-03-04,0.7392625477,-0.0123689523,-0.0092541445,1.0183380710
2021-03-05,0.7492753811,0.0183797927,0.0135874923,1.0321747317
2021-03-08,0.7482934520,-0.0049501387,-0.0037090171,1.0283463780
2021-03-09,0.7491344243,0.0142426283,0.0106576655,1.0393061497
2021-03-10,0.7588261028,0.0062436048,0.0046772993,1.0441672957
2021-03-11,0.7601111376,0.0101278867,0.0076853048,1.0521920396
2021-03-12,0.7596941281,0.0013683324,0.0010400847,1.0532864084
2021-03-15,0.7668965866,0.0059348141,0.0045086434,1.0580353013
2021-03-16,0.7611711993,-0.0012297948,-0.0009431254,1.0570374413
2021-03-17,0.7681776221,0.0034095726,0.0025952684,1.0597807372
2021-03-18,0.7480069309,-0.0145597455,-0.0111844707,1.0479276506
2021-03-19,0.7449906795,-0.0018421103,-0.0013779112,1.0464836993
2021-03-22,0.7433558725,0.0079881496,0.0059510970,1.0527114253
2021-03-23,0.7372246781,-0.0078763088,-0.0058549004,1.0465479048
2021-03-24,0.7423679232,-0.0050959673,-0.0037568728,1.0426161574
2021-03-25,0.7506836175,0.0056493008,0.0041938597,1.0469887433
2021-03-26,0.7583706247,0.0160920977,0.0120800741,1.0596364449
2021-03-29,0.7525782401,-0.0004838861,-0.0003669650,1.0592475954
2021-03-30,0.7533901259,-0.0026613244,-0.0020028548,1.0571260762
2021-03-31,0.7539907532,0.0040549347,0.0030549478,1.0603555412
2021-04-01,0.7504976956,0.0107828447,0.0081301652,1.0689764069
2021-04-05,0.7503643105,0.0143435475,0.0107647994,1.0804837234
2021-04-06,0.7615334720,-0.0005705264,-0.0004281027,1.0800211654
2021-04-07,0.7604257214,0.0011469175,0.0008734161,1.0809644733
2021-04-08,0.7617806358,0.0047334258,0.0035994188,1.0848553171
2021-04-09,0.7579565201,0.0072662253,0.0055352697,1.0908602839
2021-04-12,0.7579264878,0.0003704666,0.0002807976,1.0911665948
2021-04-13,0.7625454166,0.0029806374,0.0022591041,1.0936316537
2021-04-14,0.7633985657,-0.0034410080,-0.0026239249,1.0907620464
2021-04-15,0.7649312192,0.0107626203,0.0082161689,1.0997239316
2021-04-16,0.7690969233,0.0033626665,0.0025722086,1.1025526509
2021-04-19,0.7682174225,-0.0049294202,-0.0037912019,1.0983726512
2021-04-20,0.7575424381,-0.0073224024,-0.0056251971,1.0921940885
2021-04-21,0.7549833654,0.0094645164,0.0071697728,1.1000248720
2021-04-22,0.7482255361,-0.0091264369,-0.0068903080,1.0924453618
2021-04-23,0.7561340327,0.0108307421,0.0081038378,1.1012983618
2021-04-26,0.7569760392,0.0020982307,0.0015865437,1.1030456197
2021-04-27,0.7625686926,-0.0002230723,-0.0001688604,1.1028593590
2021-04-28,0.7747328806,-0.0002941154,-0.0002242832,1.1026120062
2021-04-29,0.7723536789,0.0063862111,0.0049476077,1.1080672979
2021-04-30,0.7795413105,-0.0065598972,-0.0050665607,1.1024532076
2021-05-03,0.7713128654,0.0021384975,0.0016670472,1.1042910491
2021-05-04,0.7621254141,-0.0061587920,-0.0047503555,1.0990452740
2021-05-05,0.7622028496,0.0002954571,0.0002251754,1.0992927519
2021-05-06,0.7600430423,0.0079928093,0.0060921420,1.1059897995
2021-05-07,0.7625972870,0.0072776968,0.0055313628,1.1121074303
2021-05-10,0.7549162967,-0.0099085136,-0.0075562056,1.1037041179
2021-05-11,0.7500935163,-0.0089007769,-0.0067193415,1.0962879530
2021-05-12,0.7379650101,-0.0212787164,-0.0159610272,1.0787900712
2021-05-13,0.7432308786,0.0120431276,0.0088874067,1.0883777173
2021-05-14,0.7538727576,0.0153366239,0.0113986525,1.1007837567
2021-05-17,0.7538959726,-0.0025259648,-0.0019042561,1.0986875825
2021-05-18,0.7490390288,-0.0086314293,-0.0065071998,1.0915382029
2021-05-19,0.7475754409,-0.0026109459,-0.0019557004,1.0894034812
2021-05-20,0.7588963783,0.0107493913,0.0080359809,1.0981579068
2021-05-21,0.7602332667,-0.0008259259,-0.0006267922,1.0974695900
2021-05-24,0.7687180421,0.0102024936,0.0077562750,1.1059818660
2021-05-25,0.7616606533,-0.0022199100,-0.0017064849,1.1040945247
2021-05-26,0.7758787337,0.0019843932,0.0015114342,1.1057632909
2021-05-27,0.7789250718,0.0005380595,0.0004174689,1.1062249127
2021-05-28,0.7657554151,0.0017849929,0.0013903757,1.1077629810
2021-06-01,0.7682479640,-0.0008921663,-0.0006831812,1.1070061782
2021-06-02,0.7772164051,0.0015942164,0.0012247535,1.1083619879
2021-06-03,0.7808518167,-0.0037122386,-0.0028852127,1.1051641278
2021-06-04,0.7744803590,0.0091230589,0.0071237571,1.1130370486
2021-06-07,0.7796860019,-0.0009669339,-0.0007488713,1.1122035271
2021-06-08,0.7730838160,0.0001980873,0.0001544459,1.1123753024
2021-06-09,0.7657515222,-0.0014640518,-0.0011318347,1.1111162774
2021-06-10,0.7591683352,0.0046371034,0.0035508690,1.1150617057
2021-06-11,0.7503959235,0.0016743470,0.0012711112,1.1164790732
2021-06-14,0.7509890465,0.0021929715,0.0016455969,1.1183163477
2021-06-15,0.7548576781,-0.0018072964,-0.0013572598,1.1167985018
2021-06-16,0.7497386943,-0.0055888214,-0.0042187647,1.1120869917
2021-06-17,0.7550868191,-0.0003335524,-0.0002500771,1.1118088842
2021-06-18,0.7477885048,-0.0134770010,-0.0101763058,1.1004947770
2021-06-21,0.7549126015,0.0143172114,0.0107062461,1.1122769449
2021-06-22,0.7629645043,0.0053527151,0.0040408321,1.1167714693
2021-06-23,0.7677585750,-0.0011945197,-0.0009113761,1.1157536704
2021-06-24,0.7653229672,0.0059023417,0.0045315735,1.1208097902
2021-06-25,0.7568636813,0.0035370070,0.0027069527,1.1238437693
2021-06-28,0.7566114991,0.0020133166,0.0015238062,1.1255562894
