date,p_risk_off,w_beta_suggested,exposure_suggested,ret_21d,ret_63d,mom_252d,vol_63d,dd_126d,p_risk_off_cal
2021-01-04,0.2085846982,0.2085846982,0.7914153018,0.0097357279,0.1094369041,0.1652449378,0.0102938222,-0.0135985433,0.4226238330
2021-01-05,0.2149789705,0.2149789705,0.7850210295,0.0169811979,0.0975843287,0.1688502723,0.0101096186,-0.0067978513,0.4248124943
2021-01-06,0.2023067924,0.2023067924,0.7976932076,0.0142923471,0.1200508253,0.1791042274,0.0099206471,-0.0008749428,0.4204294428
2021-01-07,0.2076400775,0.2076400775,0.7923599225,0.0315347469,0.1172904042,0.1903218384,0.0098622298,0.0000000000,0.4222966060
2021-01-08,0.2100798886,0.2100798886,0.7899201114,0.0343317342,0.1137656181,0.1890400432,0.0098336359,0.0000000000,0.4231396983
2021-01-11,0.2213624310,0.2213624310,0.7786375690,0.0366802832,0.0964832434,0.1844345749,0.0098469314,-0.0067108672,0.4269536458
2021-01-12,0.2310016409,0.2310016409,0.7689983591,0.0372422418,0.0793416843,0.1765744128,0.0096693097,-0.0065047218,0.4301097767
2021-01-13,0.2260304005,0.2260304005,0.7739695995,0.0412460290,0.0893626355,0.1815559484,0.0096190162,-0.0038387609,0.4284932298
2021-01-14,0.2255690254,0.2255690254,0.7744309746,0.0422437167,0.0924006511,0.1747059444,0.0095896306,-0.0073265175,0.4283420100
2021-01-15,0.2256857744,0.2256857744,0.7743142256,0.0208737360,0.0857468202,0.1565888077,0.0096471829,-0.0145555339,0.4283802949
2021-01-19,0.2199413725,0.2199413725,0.7800586275,0.0272780971,0.0949457475,0.1620664928,0.0096782322,-0.0068195114,0.4264806385
2021-01-20,0.2042636288,0.2042636288,0.7957363712,0.0356831754,0.1271818349,0.1803812454,0.0095607508,0.0000000000,0.4211184604
2021-01-21,0.2070957677,0.2070957677,0.7929042323,0.0407796318,0.1237586703,0.1813331243,0.0095580472,0.0000000000,0.4221075831
2021-01-22,0.2088373725,0.2088373725,0.7911626275,0.0408423703,0.1219093204,0.1757710961,0.0095707429,-0.0035187617,0.4227111885
2021-01-25,0.2105048869,0.2105048869,0.7894951131,0.0467285395,0.1201554946,0.1911101165,0.0095631664,0.0000000000,0.4232858677
2021-01-26,0.2137947002,0.2137947002,0.7862052998,0.0441343042,0.1146674234,0.2085903113,0.0095707477,-0.0015638815,0.4244105345
2021-01-27,0.2158900127,0.2158900127,0.7841099873,0.0146558101,0.1078982269,0.1668614023,0.0098006228,-0.0259421972,0.4251206905
2021-01-28,0.2068859212,0.2068859212,0.7931140788,0.0146997551,0.1213165729,0.1778745818,0.0098165120,-0.0175591291,0.4220346177
2021-01-29,0.2019981468,0.2019981468,0.7980018532,-0.0037740812,0.1376953795,0.1504597758,0.0091173619,-0.0372623784,0.4203203415
2021-02-01,0.1979368120,0.1979368120,0.8020631880,0.0113920906,0.1449622476,0.1912958087,0.0092451658,-0.0212395004,0.4188737017
2021-02-02,0.1828408089,0.1828408089,0.8171591911,0.0205270678,0.1734449565,0.1992835992,0.0092220961,-0.0073800840,0.4133038542
2021-02-03,0.1908617170,0.1908617170,0.8091382830,0.0354225944,0.1613445052,0.1821864478,0.0091578284,-0.0065870911,0.4163026010
2021-02-04,0.1938073996,0.1938073996,0.8061926004,0.0400251695,0.1542080104,0.1819289914,0.0090232656,0.0000000000,0.4173811661
2021-02-05,0.2048039256,0.2048039256,0.7951960744,0.0379028475,0.1334227538,0.1825841878,0.0086556714,0.0000000000,0.4213078914
2021-02-08,0.2114921418,0.2114921418,0.7885078582,0.0300832346,0.1197394347,0.1975409569,0.0083891114,0.0000000000,0.4236246324
2021-02-09,0.2102046665,0.2102046665,0.7897953335,0.0235757863,0.1192432232,0.1877697214,0.0083910541,-0.0006744977,0.4231826342
2021-02-10,0.2195265963,0.2195265963,0.7804734037,0.0300257179,0.1047949944,0.1852560648,0.0082806910,-0.0011259760,0.4263421900
2021-02-11,0.2175301152,0.2175301152,0.7824698848,0.0315084050,0.1082651724,0.1795608455,0.0082711391,0.0000000000,0.4256732997
2021-02-12,0.2197890005,0.2197890005,0.7802109995,0.0338318531,0.1055587454,0.1866648263,0.0082494037,0.0000000000,0.4264297986
2021-02-16,0.2158381878,0.2158381878,0.7841618122,0.0365521693,0.1154109806,0.1836914548,0.0081279107,-0.0008791149,0.4251031824
2021-02-17,0.2260901645,0.2260901645,0.7739098355,0.0444048679,0.1004041782,0.1870700541,0.0079804243,-0.0006410777,0.4285128029
2021-02-18,0.2343632479,0.2343632479,0.7656367521,0.0318605864,0.0822703256,0.1764775486,0.0078899374,-0.0048932890,0.4311899726
2021-02-19,0.2294020928,0.2294020928,0.7705979072,0.0159970784,0.0861211754,0.1791434406,0.0078546046,-0.0066731586,0.4295921650
2021-02-22,0.2276842180,0.2276842180,0.7723157820,0.0072448345,0.0909439283,0.1823131282,0.0077524302,-0.0143201060,0.4290336047
2021-02-23,0.2317506812,0.2317506812,0.7682493188,0.0120526377,0.0876442478,0.2243064667,0.0077437780,-0.0131001650,0.4303513552
2021-02-24,0.2212582788,0.2212582788,0.7787417212,0.0192252431,0.1072429836,0.2765313926,0.0077659028,-0.0021964349,0.4269190476
2021-02-25,0.2381945136,0.2381945136,0.7618054864,-0.0037885287,0.0741331981,0.2503560190,0.0083949770,-0.0262517244,0.4324088454
2021-02-26,0.2602303986,0.2602303986,0.7397696014,0.0158822912,0.0516563448,0.3023619470,0.0082100688,-0.0312694420,0.4391877831
2021-03-01,0.2400368460,0.2400368460,0.7599631540,0.0316229100,0.0788468269,0.3395598697,0.0087162603,-0.0077930158,0.4329904494
2021-03-02,0.2493713966,0.2493713966,0.7506286034,0.0445249316,0.0673932234,0.2739396612,0.0087875760,-0.0155319322,0.4358942627
2021-03-03,0.2518247110,0.2518247110,0.7481752890,0.0138101193,0.0580019267,0.2941721262,0.0089449487,-0.0285779978,0.4366460149
2021-03-04,0.2607374523,0.2607374523,0.7392625477,-0.0127098475,0.0335790885,0.2266019733,0.0090057574,-0.0405934702,0.4393394862
2021-03-05,0.2507246189,0.2507246189,0.7492753811,0.0046337502,0.0503477877,0.2920374875,0.0092798745,-0.0229597771,0.4363094906
2021-03-08,0.2517065480,0.2517065480,0.7482934520,-0.0115778936,0.0454402662,0.3072499718,0.0093074365,-0.0277962617,0.4366099122
2021-03-09,0.2508655757,0.2508655757,0.7491344243,-0.0014053023,0.0512575016,0.4383290852,0.0094103850,-0.0139495253,0.4363526616
2021-03-10,0.2411738972,0.2411738972,0.7588261028,-0.0023716211,0.0600466432,0.3760738590,0.0094270791,-0.0077930158,0.4333479721
2021-03-11,0.2398888624,0.2398888624,0.7601111376,0.0084124180,0.0676232874,0.4612584544,0.0094945023,0.0000000000,0.4329438390
2021-03-12,0.2403058719,0.2403058719,0.7596941281,0.0102486747,0.0787509631,0.6179547447,0.0094070296,0.0000000000,0.4330751372
2021-03-15,0.2331034134,0.2331034134,0.7668965866,0.0145730037,0.0855160981,0.4993913781,0.0094231705,0.0000000000,0.4307863410
2021-03-16,0.2388288007,0.2388288007,0.7611711993,0.0083421245,0.0854533860,0.6816239991,0.0094234221,-0.0012297948,0.4326094090
2021-03-17,0.2318223779,0.2318223779,0.7681776221,0.0126703938,0.0940283185,0.6008294209,0.0093973883,0.0000000000,0.4303744517
2021-03-18,0.2519930691,0.2519930691,0.7480069309,-0.0023115254,0.0637409383,0.6617256567,0.0094826756,-0.0145597455,0.4366974355
2021-03-19,0.2550093205,0.2550093205,0.7449906795,0.0001060125,0.0601201539,0.6550830645,0.0094892611,-0.0163750351,0.4376150740
2021-03-22,0.2566441275,0.2566441275,0.7433558725,0.0099013406,0.0626697766,0.7435286264,0.0095130247,-0.0085176917,0.4381096269
2021-03-23,0.2627753219,0.2627753219,0.7372246781,0.0097201945,0.0585097814,0.7751628311,0.0095585679,-0.0163269125,0.4399473845
2021-03-24,0.2576320768,0.2576320768,0.7423679232,0.0033329039,0.0568981048,0.6193966795,0.0095720582,-0.0213396784,0.4384075555
2021-03-25,0.2493163825,0.2493163825,0.7506836175,-0.0020250598,0.0646917108,0.6044341588,0.0095842839,-0.0158109318,0.4358773521
2021-03-26,0.2416293753,0.2416293753,0.7583706247,0.0390849619,0.0808339112,0.5403542294,0.0097700153,0.0000000000,0.4334908847
2021-03-29,0.2474217599,0.2474217599,0.7525782401,0.0439616899,0.0760852984,0.5868947925,0.0097665572,-0.0004838861,0.4352935327
2021-03-30,0.2466098741,0.2466098741,0.7533901259,0.0165481218,0.0641098815,0.5327909959,0.0097326127,-0.0031439227,0.4350424911
2021-03-31,0.2460092468,0.2460092468,0.7539907532,0.0286936595,0.0704409385,0.5623059589,0.0097326630,0.0000000000,0.4348564359
2021-04-01,0.2495023044,0.2495023044,0.7504976956,0.0537500870,0.0804727004,0.6535638131,0.0098083927,0.0000000000,0.4359344926
2021-04-05,0.2496356895,0.2496356895,0.7503643105,0.0822509114,0.0904287504,0.6395134286,0.0099349353,0.0000000000,0.4359754702
2021-04-06,0.2384665280,0.2384665280,0.7615334720,0.0621120592,0.1048307203,0.6625799574,0.0097510934,-0.0005705264,0.4324948994
2021-04-07,0.2395742786,0.2395742786,0.7604257214,0.0686200315,0.0985241541,0.5596908858,0.0097279092,0.0000000000,0.4328446931
2021-04-08,0.2382193642,0.2382193642,0.7617806358,0.0586010046,0.0971809562,0.5655541176,0.0097201178,0.0000000000,0.4324167097
2021-04-09,0.2420434799,0.2420434799,0.7579565201,0.0596768345,0.0889665857,0.5256200423,0.0095982451,0.0000000000,0.4336206661
2021-04-12,0.2420735122,0.2420735122,0.7579264878,0.0494407920,0.0832186534,0.5034256374,0.0095833583,0.0000000000,0.4336300727
2021-04-13,0.2374545834,0.2374545834,0.7625454166,0.0511304985,0.0937875988,0.5217630510,0.0095300864,0.0000000000,0.4321744407
2021-04-14,0.2366014343,0.2366014343,0.7633985657,0.0413334298,0.0897976923,0.4731120848,0.0095489414,-0.0034410080,0.4319035817
2021-04-15,0.2350687808,0.2350687808,0.7649312192,0.0538369092,0.0985788273,0.5212086244,0.0096202929,0.0000000000,0.4314153967
2021-04-16,0.2309030767,0.2309030767,0.7690969233,0.0537876459,0.1061458158,0.5190534916,0.0096011390,0.0000000000,0.4300779497
2021-04-19,0.2317825775,0.2317825775,0.7682174225,0.0640859037,0.1087676151,0.4718700981,0.0095703667,-0.0049294202,0.4303616309
2021-04-20,0.2424575619,0.2424575619,0.7575424381,0.0582436399,0.0920756643,0.4872853678,0.0096035762,-0.0122157275,0.4337502984
