date,ticker,delta_weight
2017-07-03,AAT,0.0025
2017-07-03,ABCB,0.0025
2017-07-03,ABM,0.0025
2017-07-03,ACAD,0.0025
2017-07-03,ACCO,0.0025
2017-07-03,ACGL,0.0025
2017-07-03,ACIW,0.0025
2017-07-03,ACLS,0.0025
2017-07-03,ACM,0.0025
2017-07-03,ACR,0.0025
2017-07-03,ADAM,0.0025
2017-07-03,ADC,0.0025
2017-07-03,AEIS,0.0025
2017-07-03,AER,0.0025
2017-07-03,AFG,0.0025
2017-07-03,AFL,0.0025
2017-07-03,AGNC,0.0025
2017-07-03,AGQ,0.0025
2017-07-03,AGX,0.0025
2017-07-03,AIV,0.0025
2017-07-03,AIZ,0.0025
2017-07-03,AL,0.0025
2017-07-03,ALGT,0.0025
2017-07-03,ALT,0.0025
2017-07-03,ALX,0.0025
2017-07-03,AMKR,0.0025
2017-07-03,AMN,0.0025
2017-07-03,AMP,0.0025
2017-07-03,AMSF,0.0025
2017-07-03,ANDE,0.0025
2017-07-03,ANGO,0.0025
2017-07-03,APEI,0.0025
2017-07-03,ARAY,0.0025
2017-07-03,ARCO,0.0025
2017-07-03,ARI,0.0025
2017-07-03,AROW,0.0025
2017-07-03,ASMB,0.0025
2017-07-03,ASTC,0.0025
2017-07-03,ATI,0.0025
2017-07-03,ATNI,0.0025
2017-07-03,ATRO,0.0025
2017-07-03,AUB,0.0025
2017-07-03,AVT,0.0025
2017-07-03,AX,0.0025
2017-07-03,AXL,0.0025
2017-07-03,AXS,0.0025
2017-07-03,AZTA,0.0025
2017-07-03,B,0.0025
2017-07-03,BANF,0.0025
2017-07-03,BANR,0.0025
2017-07-03,BBBY,0.0025
2017-07-03,BBD,0.0025
2017-07-03,BBT,0.0025
2017-07-03,BEEM,0.0025
2017-07-03,BFS,0.0025
2017-07-03,BGS,0.0025
2017-07-03,BJRI,0.0025
2017-07-03,BKD,0.0025
2017-07-03,BKE,0.0025
2017-07-03,BKU,0.0025
2017-07-03,BLDR,0.0025
2017-07-03,BLIN,0.0025
2017-07-03,BLKB,0.0025
2017-07-03,BUSE,0.0025
2017-07-03,CAG,0.0025
2017-07-03,CALX,0.0025
2017-07-03,CASS,0.0025
2017-07-03,CATY,0.0025
2017-07-03,CCNE,0.0025
2017-07-03,CCOI,0.0025
2017-07-03,CCRN,0.0025
2017-07-03,CECO,0.0025
2017-07-03,CFFN,0.0025
2017-07-03,CGNX,0.0025
2017-07-03,CHDN,0.0025
2017-07-03,CHH,0.0025
2017-07-03,CHRW,0.0025
2017-07-03,CIM,0.0025
2017-07-03,CLDT,0.0025
2017-07-03,CLDX,0.0025
2017-07-03,CLRB,0.0025
2017-07-03,CLW,0.0025
2017-07-03,CLX,0.0025
2017-07-03,CME,0.0025
2017-07-03,CNC,0.0025
2017-07-03,CNK,0.0025
2017-07-03,CNO,0.0025
2017-07-03,CNOB,0.0025
2017-07-03,CNS,0.0025
2017-07-03,CNVS,0.0025
2017-07-03,CNX,0.0025
2017-07-03,CNXN,0.0025
2017-07-03,COHR,0.0025
2017-07-03,CPF,0.0025
2017-07-03,CREG,0.0025
2017-07-03,CRI,0.0025
2017-07-03,CRIS,0.0025
2017-07-03,CROX,0.0025
2017-07-03,CRS,0.0025
2017-07-03,CSGP,0.0025
2017-07-03,CSV,0.0025
2017-07-03,CTBI,0.0025
2017-07-03,CTS,0.0025
2017-07-03,CXT,0.0025
2017-07-03,CXW,0.0025
2017-07-03,CYH,0.0025
2017-07-03,CYTK,0.0025
2017-07-03,DAR,0.0025
2017-07-03,DBC,0.0025
2017-07-03,DBI,0.0025
2017-07-03,DBO,0.0025
2017-07-03,DCO,0.0025
2017-07-03,DCOM,0.0025
2017-07-03,DENN,0.0025
2017-07-03,DHC,0.0025
2017-07-03,DHI,0.0025
2017-07-03,DIN,0.0025
2017-07-03,DVA,0.0025
2017-07-03,DX,0.0025
2017-07-03,DY,0.0025
2017-07-03,EDU,0.0025
2017-07-03,EEFT,0.0025
2017-07-03,EFOI,0.0025
2017-07-03,EFSC,0.0025
2017-07-03,EGHT,0.0025
2017-07-03,ENR,0.0025
2017-07-03,ENS,0.0025
2017-07-03,EUO,0.0025
2017-07-03,EXPO,0.0025
2017-07-03,EYPT,0.0025
2017-07-03,FARM,0.0025
2017-07-03,FBNC,0.0025
2017-07-03,FCF,0.0025
2017-07-03,FCN,0.0025
2017-07-03,FDP,0.0025
2017-07-03,FHN,0.0025
2017-07-03,FISI,0.0025
2017-07-03,FIX,0.0025
2017-07-03,FLNT,0.0025
2017-07-03,FORR,0.0025
2017-07-03,FRME,0.0025
2017-07-03,FRO,0.0025
2017-07-03,FTFT,0.0025
2017-07-03,FTK,0.0025
2017-07-03,FTNT,0.0025
2017-07-03,FUL,0.0025
2017-07-03,GCO,0.0025
2017-07-03,GDOT,0.0025
2017-07-03,GEN,0.0025
2017-07-03,GFF,0.0025
2017-07-03,GFI,0.0025
2017-07-03,GLNG,0.0025
2017-07-03,GLRE,0.0025
2017-07-03,GLTR,0.0025
2017-07-03,GME,0.0025
2017-07-03,GNTX,0.0025
2017-07-03,GNW,0.0025
2017-07-03,GOOD,0.0025
2017-07-03,GOOGL,0.0025
2017-07-03,GPRE,0.0025
2017-07-03,GRC,0.0025
2017-07-03,GT,0.0025
2017-07-03,GTLS,0.0025
2017-07-03,GTY,0.0025
2017-07-03,HAS,0.0025
2017-07-03,HCA,0.0025
2017-07-03,HCI,0.0025
2017-07-03,HCKT,0.0025
2017-07-03,HE,0.0025
2017-07-03,HEI,0.0025
2017-07-03,HEI-A,0.0025
2017-07-03,HELE,0.0025
2017-07-03,HII,0.0025
2017-07-03,HIMX,0.0025
2017-07-03,HL,0.0025
2017-07-03,HLF,0.0025
2017-07-03,HLIT,0.0025
2017-07-03,HLX,0.0025
2017-07-03,HMC,0.0025
2017-07-03,HP,0.0025
2017-07-03,HTH,0.0025
2017-07-03,HUN,0.0025
2017-07-03,HZO,0.0025
2017-07-03,IBCP,0.0025
2017-07-03,IDXX,0.0025
2017-07-03,IMAX,0.0025
2017-07-03,INCY,0.0025
2017-07-03,INSG,0.0025
2017-07-03,INSM,0.0025
2017-07-03,INVX,0.0025
2017-07-03,IRD,0.0025
2017-07-03,IRDM,0.0025
2017-07-03,ITGR,0.0025
2017-07-03,ITT,0.0025
2017-07-03,ITUB,0.0025
2017-07-03,JAKK,0.0025
2017-07-03,JBL,0.0025
2017-07-03,JBSS,0.0025
2017-07-03,JEF,0.0025
2017-07-03,JSM,0.0025
2017-07-03,KB,0.0025
2017-07-03,KDP,0.0025
2017-07-03,KFRC,0.0025
2017-07-03,KIM,0.0025
2017-07-03,KLAC,0.0025
2017-07-03,KLIC,0.0025
2017-07-03,KMI,0.0025
2017-07-03,KMT,0.0025
2017-07-03,KOP,0.0025
2017-07-03,KRG,0.0025
2017-07-03,KRNY,0.0025
2017-07-03,KW,0.0025
2017-07-03,LEE,0.0025
2017-07-03,LNN,0.0025
2017-07-03,LRCX,0.0025
2017-07-03,LRN,0.0025
2017-07-03,LSAK,0.0025
2017-07-03,LSCC,0.0025
2017-07-03,LSTA,0.0025
2017-07-03,MAC,0.0025
2017-07-03,MASI,0.0025
2017-07-03,MATV,0.0025
2017-07-03,MBWM,0.0025
2017-07-03,MCO,0.0025
2017-07-03,MCRI,0.0025
2017-07-03,MD,0.0025
2017-07-03,MED,0.0025
2017-07-03,MELI,0.0025
2017-07-03,MERC,0.0025
2017-07-03,MGPI,0.0025
2017-07-03,MIND,0.0025
2017-07-03,MKL,0.0025
2017-07-03,MKSI,0.0025
2017-07-03,MKTX,0.0025
2017-07-03,MLI,0.0025
2017-07-03,MORN,0.0025
2017-07-03,MPAA,0.0025
2017-07-03,MRCY,0.0025
2017-07-03,MSCI,0.0025
2017-07-03,MTH,0.0025
2017-07-03,MUFG,0.0025
2017-07-03,MX,0.0025
2017-07-03,MYRG,0.0025
2017-07-03,NAT,0.0025
2017-07-03,NCMI,0.0025
2017-07-03,NDAQ,0.0025
2017-07-03,NEU,0.0025
2017-07-03,NFBK,0.0025
2017-07-03,NFLX,0.0025
2017-07-03,NKTR,0.0025
2017-07-03,NMR,0.0025
2017-07-03,NNBR,0.0025
2017-07-03,NNN,0.0025
2017-07-03,NOAH,0.0025
2017-07-03,NOG,0.0025
2017-07-03,NOV,0.0025
2017-07-03,NPKI,0.0025
2017-07-03,NPO,0.0025
2017-07-03,NSIT,0.0025
2017-07-03,NTAP,0.0025
2017-07-03,NTCT,0.0025
2017-07-03,NTGR,0.0025
2017-07-03,NUS,0.0025
2017-07-03,NVAX,0.0025
2017-07-03,NVMI,0.0025
2017-07-03,NVR,0.0025
2017-07-03,NWBI,0.0025
2017-07-03,NX,0.0025
2017-07-03,NXST,0.0025
2017-07-03,OCFC,0.0025
2017-07-03,OESX,0.0025
2017-07-03,OFG,0.0025
2017-07-03,OHI,0.0025
2017-07-03,OIS,0.0025
