date,ticker,delta_weight
2017-07-03,AAPL,0.0025
2017-07-03,AAT,0.0025
2017-07-03,ABM,0.0025
2017-07-03,ACGL,0.0025
2017-07-03,ACIW,0.0025
2017-07-03,ACLS,0.0025
2017-07-03,ACM,0.0025
2017-07-03,ADAM,0.0025
2017-07-03,ADC,0.0025
2017-07-03,ADP,0.0025
2017-07-03,ADUS,0.0025
2017-07-03,AER,0.0025
2017-07-03,AFG,0.0025
2017-07-03,AFL,0.0025
2017-07-03,AGCO,0.0025
2017-07-03,AGNC,0.0025
2017-07-03,AIV,0.0025
2017-07-03,AIZ,0.0025
2017-07-03,AL,0.0025
2017-07-03,ALGN,0.0025
2017-07-03,ALKS,0.0025
2017-07-03,ALNY,0.0025
2017-07-03,AME,0.0025
2017-07-03,AMKR,0.0025
2017-07-03,ANDE,0.0025
2017-07-03,AORT,0.0025
2017-07-03,AOS,0.0025
2017-07-03,APD,0.0025
2017-07-03,ARI,0.0025
2017-07-03,AROW,0.0025
2017-07-03,ASGN,0.0025
2017-07-03,ATGE,0.0025
2017-07-03,ATRC,0.0025
2017-07-03,AUB,0.0025
2017-07-03,AVA,0.0025
2017-07-03,AVD,0.0025
2017-07-03,AVDL,0.0025
2017-07-03,AVT,0.0025
2017-07-03,AXGN,0.0025
2017-07-03,AXON,0.0025
2017-07-03,AXS,0.0025
2017-07-03,B,0.0025
2017-07-03,BALL,0.0025
2017-07-03,BANF,0.0025
2017-07-03,BANR,0.0025
2017-07-03,BBD,0.0025
2017-07-03,BBT,0.0025
2017-07-03,BCO,0.0025
2017-07-03,BCPC,0.0025
2017-07-03,BDN,0.0025
2017-07-03,BFS,0.0025
2017-07-03,BGS,0.0025
2017-07-03,BIO,0.0025
2017-07-03,BKD,0.0025
2017-07-03,BKU,0.0025
2017-07-03,BLKB,0.0025
2017-07-03,BR,0.0025
2017-07-03,BUSE,0.0025
2017-07-03,CACC,0.0025
2017-07-03,CACI,0.0025
2017-07-03,CASS,0.0025
2017-07-03,CATY,0.0025
2017-07-03,CBSH,0.0025
2017-07-03,CBZ,0.0025
2017-07-03,CCOI,0.0025
2017-07-03,CDP,0.0025
2017-07-03,CFFN,0.0025
2017-07-03,CFR,0.0025
2017-07-03,CHDN,0.0025
2017-07-03,CHE,0.0025
2017-07-03,CHH,0.0025
2017-07-03,CIEN,0.0025
2017-07-03,CIM,0.0025
2017-07-03,CL,0.0025
2017-07-03,CLDT,0.0025
2017-07-03,CLW,0.0025
2017-07-03,CLX,0.0025
2017-07-03,CME,0.0025
2017-07-03,CNMD,0.0025
2017-07-03,CNO,0.0025
2017-07-03,CNOB,0.0025
2017-07-03,CNVS,0.0025
2017-07-03,CNX,0.0025
2017-07-03,CODI,0.0025
2017-07-03,COO,0.0025
2017-07-03,COP,0.0025
2017-07-03,CP,0.0025
2017-07-03,CPF,0.0025
2017-07-03,CREG,0.0025
2017-07-03,CRL,0.0025
2017-07-03,CRM,0.0025
2017-07-03,CSGP,0.0025
2017-07-03,CSGS,0.0025
2017-07-03,CSV,0.0025
2017-07-03,CSX,0.0025
2017-07-03,CTBI,0.0025
2017-07-03,CTS,0.0025
2017-07-03,CULP,0.0025
2017-07-03,CVX,0.0025
2017-07-03,CXT,0.0025
2017-07-03,CYH,0.0025
2017-07-03,DAKT,0.0025
2017-07-03,DAN,0.0025
2017-07-03,DAR,0.0025
2017-07-03,DBO,0.0025
2017-07-03,DCO,0.0025
2017-07-03,DCOM,0.0025
2017-07-03,DENN,0.0025
2017-07-03,DHIL,0.0025
2017-07-03,DIOD,0.0025
2017-07-03,DRI,0.0025
2017-07-03,DVA,0.0025
2017-07-03,DX,0.0025
2017-07-03,EBAY,0.0025
2017-07-03,EBS,0.0025
2017-07-03,ECL,0.0025
2017-07-03,ECPG,0.0025
2017-07-03,EFX,0.0025
2017-07-03,EGBN,0.0025
2017-07-03,EGP,0.0025
2017-07-03,EHC,0.0025
2017-07-03,EIG,0.0025
2017-07-03,ELS,0.0025
2017-07-03,EMN,0.0025
2017-07-03,ENOV,0.0025
2017-07-03,EPC,0.0025
2017-07-03,EQT,0.0025
2017-07-03,ESE,0.0025
2017-07-03,EUO,0.0025
2017-07-03,EWBC,0.0025
2017-07-03,EXC,0.0025
2017-07-03,EXLS,0.0025
2017-07-03,EXP,0.0025
2017-07-03,EXPO,0.0025
2017-07-03,F,0.0025
2017-07-03,FCBC,0.0025
2017-07-03,FCF,0.0025
2017-07-03,FDS,0.0025
2017-07-03,FFIC,0.0025
2017-07-03,FICO,0.0025
2017-07-03,FIS,0.0025
2017-07-03,FISI,0.0025
2017-07-03,FISV,0.0025
2017-07-03,FMS,0.0025
2017-07-03,FNF,0.0025
2017-07-03,FORR,0.0025
2017-07-03,FRME,0.0025
2017-07-03,FRO,0.0025
2017-07-03,FTNT,0.0025
2017-07-03,FUL,0.0025
2017-07-03,G,0.0025
2017-07-03,GATX,0.0025
2017-07-03,GDOT,0.0025
2017-07-03,GEN,0.0025
2017-07-03,GES,0.0025
2017-07-03,GFI,0.0025
2017-07-03,GIS,0.0025
2017-07-03,GL,0.0025
2017-07-03,GLRE,0.0025
2017-07-03,GLW,0.0025
2017-07-03,GM,0.0025
2017-07-03,GME,0.0025
2017-07-03,GNRC,0.0025
2017-07-03,GNW,0.0025
2017-07-03,GOOGL,0.0025
2017-07-03,GPN,0.0025
2017-07-03,GPRE,0.0025
2017-07-03,GTY,0.0025
2017-07-03,HAL,0.0025
2017-07-03,HCA,0.0025
2017-07-03,HCI,0.0025
2017-07-03,HE,0.0025
2017-07-03,HEI,0.0025
2017-07-03,HEI-A,0.0025
2017-07-03,HELE,0.0025
2017-07-03,HI,0.0025
2017-07-03,HII,0.0025
2017-07-03,HL,0.0025
2017-07-03,HLF,0.0025
2017-07-03,HLIO,0.0025
2017-07-03,HMC,0.0025
2017-07-03,HOLX,0.0025
2017-07-03,HRB,0.0025
2017-07-03,HSIC,0.0025
2017-07-03,HSY,0.0025
2017-07-03,HUN,0.0025
2017-07-03,HXL,0.0025
2017-07-03,ICFI,0.0025
2017-07-03,ICLR,0.0025
2017-07-03,IDXX,0.0025
2017-07-03,IMAX,0.0025
2017-07-03,INN,0.0025
2017-07-03,IOSP,0.0025
2017-07-03,IPGP,0.0025
2017-07-03,ISRG,0.0025
2017-07-03,IT,0.0025
2017-07-03,ITGR,0.0025
2017-07-03,ITRI,0.0025
2017-07-03,ITUB,0.0025
2017-07-03,IX,0.0025
2017-07-03,JBL,0.0025
