date,ticker,delta_weight
2012-07-03,AAP,0.0025
2012-07-03,AAPL,0.0025
2012-07-03,AAT,0.0025
2012-07-03,ABG,0.0025
2012-07-03,ABT,0.0025
2012-07-03,ACCO,0.0025
2012-07-03,ACGL,0.0025
2012-07-03,ACIW,0.0025
2012-07-03,AEE,0.0025
2012-07-03,AEO,0.0025
2012-07-03,AEP,0.0025
2012-07-03,AFG,0.0025
2012-07-03,AGEN,0.0025
2012-07-03,AGNC,0.0025
2012-07-03,AJG,0.0025
2012-07-03,AKR,0.0025
2012-07-03,ALG,0.0025
2012-07-03,ALGN,0.0025
2012-07-03,ALGT,0.0025
2012-07-03,ALL,0.0025
2012-07-03,ALLT,0.0025
2012-07-03,ALNY,0.0025
2012-07-03,ALX,0.0025
2012-07-03,AME,0.0025
2012-07-03,AMGN,0.0025
2012-07-03,AMT,0.0025
2012-07-03,AMZN,0.0025
2012-07-03,APOG,0.0025
2012-07-03,ARR,0.0025
2012-07-03,ASGN,0.0025
2012-07-03,ASML,0.0025
2012-07-03,ASPS,0.0025
2012-07-03,ATO,0.0025
2012-07-03,AVD,0.0025
2012-07-03,AWI,0.0025
2012-07-03,AWK,0.0025
2012-07-03,AWR,0.0025
2012-07-03,AXP,0.0025
2012-07-03,AZO,0.0025
2012-07-03,AZZ,0.0025
2012-07-03,BANR,0.0025
2012-07-03,BBWI,0.0025
2012-07-03,BDN,0.0025
2012-07-03,BF-A,0.0025
2012-07-03,BF-B,0.0025
2012-07-03,BFH,0.0025
2012-07-03,BFS,0.0025
2012-07-03,BGS,0.0025
2012-07-03,BIIB,0.0025
2012-07-03,BKH,0.0025
2012-07-03,BKNG,0.0025
2012-07-03,BLDR,0.0025
2012-07-03,BLIN,0.0025
2012-07-03,BMRN,0.0025
2012-07-03,BMY,0.0025
2012-07-03,CAL,0.0025
2012-07-03,CASY,0.0025
2012-07-03,CB,0.0025
2012-07-03,CBOE,0.0025
2012-07-03,CBRL,0.0025
2012-07-03,CBU,0.0025
2012-07-03,CCI,0.0025
2012-07-03,CCOI,0.0025
2012-07-03,CF,0.0025
2012-07-03,CHD,0.0025
2012-07-03,CHH,0.0025
2012-07-03,CHTR,0.0025
2012-07-03,CINF,0.0025
2012-07-03,CL,0.0025
2012-07-03,CLDX,0.0025
2012-07-03,CLNE,0.0025
2012-07-03,CLX,0.0025
2012-07-03,CMCSA,0.0025
2012-07-03,CNK,0.0025
2012-07-03,CNP,0.0025
2012-07-03,COLB,0.0025
2012-07-03,CORT,0.0025
2012-07-03,COST,0.0025
2012-07-03,CP,0.0025
2012-07-03,CPAY,0.0025
2012-07-03,CPT,0.0025
2012-07-03,CRI,0.0025
2012-07-03,CRIS,0.0025
2012-07-03,CRMT,0.0025
2012-07-03,CRUS,0.0025
2012-07-03,CSCO,0.0025
2012-07-03,CTAS,0.0025
2012-07-03,CTBI,0.0025
2012-07-03,CTRA,0.0025
2012-07-03,CVBF,0.0025
2012-07-03,CVCO,0.0025
2012-07-03,CVGW,0.0025
2012-07-03,CVLT,0.0025
2012-07-03,CVS,0.0025
2012-07-03,CXW,0.0025
2012-07-03,D,0.0025
2012-07-03,DAL,0.0025
2012-07-03,DCI,0.0025
2012-07-03,DDD,0.0025
2012-07-03,DEI,0.0025
2012-07-03,DENN,0.0025
2012-07-03,DG,0.0025
2012-07-03,DHI,0.0025
2012-07-03,DKS,0.0025
2012-07-03,DLR,0.0025
2012-07-03,DLTR,0.0025
2012-07-03,DOC,0.0025
2012-07-03,DORM,0.0025
2012-07-03,DPZ,0.0025
2012-07-03,DSGX,0.0025
2012-07-03,DTE,0.0025
2012-07-03,DUK,0.0025
2012-07-03,DVA,0.0025
2012-07-03,DVAX,0.0025
2012-07-03,DWSN,0.0025
