date,state,equity,tqqq_shares,splg_shares,bil_shares,cash,returns,peak,drawdown
1999-03-11,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
1999-03-12,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-15,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-16,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-17,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-18,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-19,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-22,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-23,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-24,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-25,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-26,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-29,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-30,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-03-31,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-01,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-05,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-06,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-07,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-08,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-09,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-12,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-13,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-14,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-15,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-16,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-19,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-20,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-21,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-22,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-23,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-26,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-27,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-28,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-29,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-04-30,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-03,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-04,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-05,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-06,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-07,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-10,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-11,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-12,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-13,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-14,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-17,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-18,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-19,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-20,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-21,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-24,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-25,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-26,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-27,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-05-28,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-06-01,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-06-02,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-06-03,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-06-04,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999-06-07,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
