date,equity
1999-03-11,1.0
1999-03-12,1.0
1999-03-15,1.0
1999-03-16,1.0
1999-03-17,1.0
1999-03-18,1.0
1999-03-19,1.0
1999-03-22,1.0
1999-03-23,1.0
1999-03-24,1.0
1999-03-25,1.0
1999-03-26,1.0
1999-03-29,1.0
1999-03-30,1.0
1999-03-31,1.0
1999-04-01,1.0
1999-04-05,1.0
1999-04-06,1.0
1999-04-07,1.0
1999-04-08,1.0
1999-04-09,1.0
1999-04-12,1.0
1999-04-13,1.0
1999-04-14,1.0
1999-04-15,1.0
1999-04-16,1.0
1999-04-19,1.0
1999-04-20,1.0
1999-04-21,1.0
1999-04-22,1.0
1999-04-23,1.0
1999-04-26,1.0
1999-04-27,1.0
1999-04-28,1.0
1999-04-29,1.0
1999-04-30,1.0
1999-05-03,1.0
1999-05-04,1.0
1999-05-05,1.0
1999-05-06,1.0
1999-05-07,1.0
1999-05-10,1.0
1999-05-11,1.0
1999-05-12,1.0
1999-05-13,1.0
1999-05-14,1.0
1999-05-17,1.0
1999-05-18,1.0
1999-05-19,1.0
1999-05-20,1.0
1999-05-21,1.0
1999-05-24,1.0
1999-05-25,1.0
1999-05-26,1.0
1999-05-27,1.0
1999-05-28,1.0
1999-06-01,1.0
1999-06-02,1.0
1999-06-03,1.0
1999-06-04,1.0
1999-06-07,1.0
1999-06-08,1.0
1999-06-09,1.0
1999-06-10,1.0
1999-06-11,1.0
1999-06-14,1.0
1999-06-15,1.0
1999-06-16,1.0
1999-06-17,1.0
1999-06-18,1.0
1999-06-21,1.0
1999-06-22,1.0
1999-06-23,1.0
1999-06-24,1.0
1999-06-25,1.0
1999-06-28,1.0
1999-06-29,1.0
1999-06-30,1.0
1999-07-01,1.0
1999-07-02,1.0
1999-07-06,1.0
1999-07-07,1.0
1999-07-08,1.0
1999-07-09,1.0
1999-07-12,1.0
1999-07-13,1.0
1999-07-14,1.0
1999-07-15,1.0
1999-07-16,1.0
1999-07-19,1.0
1999-07-20,1.0
1999-07-21,1.0
1999-07-22,1.0
1999-07-23,1.0
1999-07-26,1.0
1999-07-27,1.0
1999-07-28,1.0
1999-07-29,1.0
1999-07-30,1.0
1999-08-02,1.0
1999-08-03,1.0
1999-08-04,1.0
1999-08-05,1.0
1999-08-06,1.0
1999-08-09,1.0
1999-08-10,1.0
1999-08-11,1.0
1999-08-12,1.0
1999-08-13,1.0
1999-08-16,1.0
1999-08-17,1.0
1999-08-18,1.0
1999-08-19,1.0
1999-08-20,1.0
1999-08-23,1.0
1999-08-24,1.0
1999-08-25,1.0
1999-08-26,1.0
1999-08-27,1.0
1999-08-30,1.0
1999-08-31,1.0
1999-09-01,1.0
1999-09-02,1.0
1999-09-03,1.0
1999-09-07,1.0
1999-09-08,1.0
1999-09-09,1.0
1999-09-10,1.0
1999-09-13,1.0
1999-09-14,1.0
1999-09-15,1.0
1999-09-16,1.0
1999-09-17,1.0
1999-09-20,1.0
1999-09-21,1.0
1999-09-22,1.0
1999-09-23,1.0
1999-09-24,1.0
1999-09-27,1.0
1999-09-28,1.0
1999-09-29,1.0
1999-09-30,1.0
1999-10-01,1.0
1999-10-04,1.0
1999-10-05,1.0
1999-10-06,1.0
1999-10-07,1.0
1999-10-08,1.0
1999-10-11,1.0
1999-10-12,1.0
1999-10-13,1.0
1999-10-14,1.0
1999-10-15,1.0
1999-10-18,1.0
1999-10-19,1.0
1999-10-20,1.0
1999-10-21,1.0
1999-10-22,1.0
1999-10-25,1.0
1999-10-26,1.0
1999-10-27,1.0
1999-10-28,1.0
1999-10-29,1.0
1999-11-01,1.0
1999-11-02,1.0
1999-11-03,1.0
1999-11-04,1.0
1999-11-05,1.0
1999-11-08,1.0
1999-11-09,1.0
1999-11-10,1.0
1999-11-11,1.0
1999-11-12,1.0
1999-11-15,1.0
1999-11-17,1.0
1999-11-18,1.0
1999-11-19,1.0
1999-11-22,1.0
1999-11-23,1.0
1999-11-24,1.0
1999-11-26,1.0
1999-11-29,1.0
1999-11-30,1.0
1999-12-01,1.0
1999-12-02,1.0
1999-12-03,1.0
1999-12-06,1.0
1999-12-07,1.0
1999-12-08,1.0
1999-12-09,1.0
1999-12-10,1.0
1999-12-13,1.0
1999-12-14,1.0
1999-12-15,1.0
1999-12-16,1.0
1999-12-17,1.0
1999-12-20,1.0
1999-12-21,1.0
1999-12-22,1.0
1999-12-23,0.9999999999999999
1999-12-27,1.0077681808981673
1999-12-28,1.003879593327005
1999-12-29,0.9997872271595761
1999-12-30,1.024387922279858
1999-12-31,1.0171813148571842
2000-01-03,1.0162634025965747
2000-01-04,1.0407299504749368
2000-01-05,0.9942745058264834
2000-01-06,0.9778006267857007
2000-01-07,0.9341974069030206
2000-01-10,1.0092651365998861
2000-01-11,1.0274757521973306
2000-01-12,0.9950061736953596
2000-01-13,0.9807590318812536
2000-01-14,1.0191161640953066
2000-01-18,1.0345964446451545
2000-01-19,1.0382142990221803
2000-01-20,1.0534471328045325
2000-01-21,1.0468158529918092
2000-01-24,1.0552890783679054
2000-01-25,1.022347341969127
2000-01-26,1.032237549111139
2000-01-27,1.0052552448125498
2000-01-28,1.0148391847306337
2000-01-31,0.9816107283748375
2000-02-01,1.0089814009490357
2000-02-02,1.0266096160633795
2000-02-03,1.032239574861952
2000-02-04,1.0584477110662993
2000-02-07,1.063097690957924
2000-02-08,1.0727079985799446
2000-02-09,1.1018530025369035
2000-02-10,1.0765637519090818
2000-02-11,1.0996042360203209
2000-02-14,1.0829393670054386
2000-02-15,1.0820191518145073
2000-02-16,1.0871554235416725
2000-02-17,1.0838090596057761
2000-02-18,1.0988254701402347
2000-02-22,1.0730199867609538
2000-02-23,1.0752044368521407
2000-02-24,1.1141167802761511
2000-02-25,1.129740982337388
2000-02-28,1.113000130594378
2000-02-29,1.1125327675693903
2000-03-01,1.1316965266669934
2000-03-02,1.137696766464953
2000-03-03,1.120512047727347
2000-03-06,1.1615970662319408
2000-03-07,1.167554270028196
2000-03-08,1.1560875443097014
2000-03-09,1.163003396110177
2000-03-10,1.1883593880702756
2000-03-13,1.1852043987849645
2000-03-14,1.164900012293701
2000-03-15,1.1368773635801512
2000-03-16,1.1059191751212443
2000-03-17,1.1468957898672862
2000-03-20,1.1609922505624688
2000-03-21,1.1398688176794518
2000-03-22,1.1676789243059624
2000-03-23,1.1831312470298176
2000-03-24,1.1966505910530338
2000-03-27,1.2069432869007817
2000-03-28,1.2081720405189926
2000-03-29,1.1882174931250105
2000-03-30,1.1563532720400367
2000-03-31,1.1374501335675167
2000-04-03,1.1531087688671406
2000-04-04,1.1080899483110846
2000-04-05,1.1010840471624066
2000-04-06,1.0883167834520646
2000-04-07,1.1051138256029995
2000-04-10,1.1340044726173026
2000-04-11,1.089069565305434
2000-04-12,1.072317614690245
2000-04-13,1.0313553791506864
2000-04-14,1.002206286793901
2000-04-17,0.9457185964782345
2000-04-18,1.0165073169042134
2000-04-19,1.0340235375866451
2000-04-20,1.0134594555438805
2000-04-24,0.9991749483104981
2000-04-25,0.9804830648843734
2000-04-26,1.023510214966874
2000-04-27,1.0007202758775715
2000-04-28,1.0295872744635586
2000-05-01,1.0553569687517415
2000-05-02,1.0615919735947992
2000-05-03,1.0218969880548476
2000-05-04,1.014524744682884
2000-05-05,1.015920325308917
2000-05-08,1.0316798638224622
2000-05-09,1.0055388636482372
2000-05-10,0.9916090305586754
2000-05-11,0.9447849298735037
2000-05-12,0.9822420711997785
2000-05-15,0.9822420711997785
2000-05-16,1.010076268009459
2000-05-17,1.0287305714344332
2000-05-18,1.0149246320703935
2000-05-19,0.9912182783103444
2000-05-22,0.9607673444282114
2000-05-23,0.9601929795067624
2000-05-24,0.9081768140222855
2000-05-25,0.9451474625844234
2000-05-26,0.9316468183291868
2000-05-30,0.9316468183291868
2000-05-31,0.9924301212498958
2000-06-01,0.9741050781672805
2000-06-02,1.006399205796331
2000-06-05,1.05321307176289
2000-06-06,1.0549605051138673
2000-06-07,1.035862722192243
2000-06-08,1.053917804110674
2000-06-09,1.0506845891988021
2000-06-12,1.0543784203776683
2000-06-13,1.0324252969544572
2000-06-14,1.0583134220620591
2000-06-15,1.042772944696559
2000-06-16,1.0547768664547328
2000-06-19,1.0584168330709738
2000-06-20,1.0857909610772478
2000-06-21,1.0830294777568321
2000-06-22,1.0920985071672726
2000-06-23,1.0660845918294737
2000-06-26,1.0387933052202079
2000-06-27,1.0572143385612656
2000-06-28,1.0489594988643058
2000-06-29,1.05724946688828
2000-06-30,1.0400304011821804
2000-07-03,1.0533079717324654
2000-07-05,1.0665729426087427
2000-07-06,1.0397499002768422
2000-07-07,1.0576870787455206
2000-07-10,1.0719516570864212
2000-07-11,1.0612867226724951
2000-07-12,1.065054527305169
2000-07-13,1.081511951911486
2000-07-14,1.0905954366465915
2000-07-17,1.1058073169696916
2000-07-18,1.1138729675880552
2000-07-19,1.0978194256086613
2000-07-20,1.0817289895677644
2000-07-21,1.1042862034623129
2000-07-24,1.080167660224265
2000-07-25,1.0656505410144124
2000-07-26,1.0711901624327693
2000-07-27,1.0702072751101839
2000-07-28,1.0428907689384117
2000-07-31,1.0060916182609114
2000-08-01,1.0254219765515982
2000-08-02,1.016518391845382
2000-08-03,1.0048641563812981
2000-08-04,1.033126682805139
2000-08-07,1.0307008639366166
2000-08-08,1.0465465671815064
2000-08-09,1.0603662962789575
2000-08-10,1.042101509713756
2000-08-11,1.028667611356917
2000-08-14,1.0379255212406624
2000-08-15,1.0522804053683512
2000-08-16,1.0522804053683512
2000-08-17,1.0592623657250195
2000-08-18,1.0725389211227814
2000-08-21,1.0688815145456125
2000-08-22,1.0706847722176667
2000-08-23,1.0706847722176667
2000-08-24,1.0820867473420752
2000-08-25,1.0929278121270816
2000-08-28,1.0891097296975565
2000-08-29,1.0925713268757744
2000-08-30,1.0961316179919023
