date,state,equity,tqqq_shares,splg_shares,bil_shares,cash,returns,peak,drawdown
2012-01-03,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
2012-01-04,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-05,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-06,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-09,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-10,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-11,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-12,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-13,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-17,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-18,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-19,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-20,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-23,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-24,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-25,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-26,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-27,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-30,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-01-31,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-01,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-02,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-03,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-06,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-07,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-08,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-09,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-10,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-13,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-14,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-15,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-16,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-17,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-21,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-22,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-23,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-24,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-27,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-28,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-02-29,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-01,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-02,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-05,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-06,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-07,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-08,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-09,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-12,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-13,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-14,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-15,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-16,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-19,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-20,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-21,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-22,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-23,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-26,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-27,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-28,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012-03-29,NO_SIGNAL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
