date,ticker,delta_weight
2022-02-01,AA,0.0025
2022-02-01,AAME,0.0025
2022-02-01,AB,0.0025
2022-02-01,ABCB,0.0025
2022-02-01,ABEV,0.0025
2022-02-01,ABR,0.0025
2022-02-01,ABT,0.0025
2022-02-01,ABUS,0.0025
2022-02-01,ACAD,0.0025
2022-02-01,ACGL,0.0025
2022-02-01,ACNB,0.0025
2022-02-01,ACNT,0.0025
2022-02-01,ACR,0.0025
2022-02-01,ACTG,0.0025
2022-02-01,ADAM,0.0025
2022-02-01,ADM,0.0025
2022-02-01,ADUS,0.0025
2022-02-01,AEG,0.0025
2022-02-01,AEHR,0.0025
2022-02-01,AFL,0.0025
2022-02-01,AGEN,0.0025
2022-02-01,AGM,0.0025
2022-02-01,AGNC,0.0025
2022-02-01,AGO,0.0025
2022-02-01,AGQ,0.0025
2022-02-01,AHT,0.0025
2022-02-01,AIFU,0.0025
2022-02-01,AIG,0.0025
2022-02-01,AIV,0.0025
2022-02-01,AIZ,0.0025
2022-02-01,AJG,0.0025
2022-02-01,AKO-B,0.0025
2022-02-01,AKR,0.0025
2022-02-01,ALCO,0.0025
2022-02-01,ALEX,0.0025
2022-02-01,ALGN,0.0025
2022-02-01,ALL,0.0025
2022-02-01,ALNT,0.0025
2022-02-01,ALNY,0.0025
2022-02-01,ALT,0.0025
2022-02-01,ALX,0.0025
2022-02-01,AME,0.0025
2022-02-01,AMGN,0.0025
2022-02-01,AMP,0.0025
2022-02-01,AMRN,0.0025
2022-02-01,AMRX,0.0025
2022-02-01,AMSF,0.0025
2022-02-01,AMT,0.0025
2022-02-01,AMTX,0.0025
2022-02-01,AMWD,0.0025
2022-02-01,ANGO,0.0025
2022-02-01,ANIK,0.0025
2022-02-01,ANIP,0.0025
2022-02-01,ANIX,0.0025
2022-02-01,AON,0.0025
2022-02-01,AORT,0.0025
2022-02-01,APD,0.0025
2022-02-01,APOG,0.0025
2022-02-01,APYX,0.0025
2022-02-01,ARI,0.0025
2022-02-01,ARL,0.0025
2022-02-01,AROW,0.0025
2022-02-01,ARR,0.0025
2022-02-01,ASMB,0.0025
2022-02-01,ASRV,0.0025
2022-02-01,ATEC,0.0025
2022-02-01,ATI,0.0025
2022-02-01,ATLC,0.0025
2022-02-01,ATR,0.0025
2022-02-01,ATRC,0.0025
2022-02-01,AUB,0.0025
2022-02-01,AVD,0.0025
2022-02-01,AVY,0.0025
2022-02-01,AWI,0.0025
2022-02-01,AX,0.0025
2022-02-01,AXGN,0.0025
2022-02-01,AXP,0.0025
2022-02-01,AXR,0.0025
2022-02-01,AXS,0.0025
2022-02-01,AZN,0.0025
2022-02-01,BAC,0.0025
2022-02-01,BANF,0.0025
2022-02-01,BANR,0.0025
2022-02-01,BAX,0.0025
2022-02-01,BBD,0.0025
2022-02-01,BBT,0.0025
2022-02-01,BBVA,0.0025
