date,ticker,delta_weight
2014-07-01,ACAD,0.0025
2014-07-01,ACCO,0.0025
2014-07-01,ACHV,0.0025
2014-07-01,ACIW,0.0025
2014-07-01,ACLS,0.0025
2014-07-01,ADAM,0.0025
2014-07-01,AEIS,0.0025
2014-07-01,AGX,0.0025
2014-07-01,AIFU,0.0025
2014-07-01,AJG,0.0025
2014-07-01,ALNY,0.0025
2014-07-01,ALT,0.0025
2014-07-01,ALX,0.0025
2014-07-01,AMG,0.0025
2014-07-01,AMN,0.0025
2014-07-01,AMSC,0.0025
2014-07-01,AMSF,0.0025
2014-07-01,ANDE,0.0025
2014-07-01,ANGO,0.0025
2014-07-01,ANIP,0.0025
2014-07-01,APEI,0.0025
2014-07-01,ARAY,0.0025
2014-07-01,ARCO,0.0025
2014-07-01,ASGN,0.0025
2014-07-01,ASMB,0.0025
2014-07-01,ASML,0.0025
2014-07-01,ASTE,0.0025
2014-07-01,ATNI,0.0025
2014-07-01,ATRC,0.0025
2014-07-01,ATRO,0.0025
2014-07-01,AVD,0.0025
2014-07-01,AVNW,0.0025
2014-07-01,AVT,0.0025
2014-07-01,AXL,0.0025
2014-07-01,AXON,0.0025
2014-07-01,AZTA,0.0025
2014-07-01,B,0.0025
2014-07-01,BAC,0.0025
2014-07-01,BANF,0.0025
2014-07-01,BB,0.0025
2014-07-01,BBBY,0.0025
2014-07-01,BBT,0.0025
2014-07-01,BCO,0.0025
2014-07-01,BCPC,0.0025
2014-07-01,BEEM,0.0025
2014-07-01,BFH,0.0025
2014-07-01,BGMS,0.0025
2014-07-01,BJRI,0.0025
2014-07-01,BKE,0.0025
2014-07-01,BKU,0.0025
2014-07-01,BLDR,0.0025
2014-07-01,BLIN,0.0025
2014-07-01,BMRN,0.0025
2014-07-01,BNBX,0.0025
2014-07-01,BOH,0.0025
2014-07-01,BOKF,0.0025
2014-07-01,BPOP,0.0025
2014-07-01,BUSE,0.0025
2014-07-01,BXC,0.0025
2014-07-01,CACC,0.0025
2014-07-01,CALX,0.0025
2014-07-01,CAPR,0.0025
2014-07-01,CASS,0.0025
2014-07-01,CATY,0.0025
2014-07-01,CBOE,0.0025
2014-07-01,CBSH,0.0025
2014-07-01,CBU,0.0025
2014-07-01,CBZ,0.0025
2014-07-01,CCOI,0.0025
2014-07-01,CECO,0.0025
2014-07-01,CERS,0.0025
2014-07-01,CFFN,0.0025
2014-07-01,CFR,0.0025
2014-07-01,CHCO,0.0025
2014-07-01,CHH,0.0025
2014-07-01,CIEN,0.0025
