date,ticker,delta_weight
2012-07-03,AAPL,0.02
2012-07-03,AMTX,0.02
2012-07-03,ANIK,0.02
2012-07-03,ASPS,0.02
2012-07-03,ASUR,0.02
2012-07-03,AVD,0.02
2012-07-03,AWRE,0.02
2012-07-03,BLDR,0.02
2012-07-03,CBAN,0.02
2012-07-03,CFFI,0.02
2012-07-03,CRI,0.02
2012-07-03,CRUS,0.02
2012-07-03,DDD,0.02
2012-07-03,EDV,0.02
2012-07-03,EQIX,0.02
2012-07-03,EXPE,0.02
2012-07-03,FONR,0.02
2012-07-03,HAIN,0.02
2012-07-03,HCI,0.02
2012-07-03,HDSN,0.02
2012-07-03,HSTM,0.02
2012-07-03,INOD,0.02
2012-07-03,JBSS,0.02
2012-07-03,KINS,0.02
2012-07-03,KNDI,0.02
2012-07-03,KTCC,0.02
2012-07-03,LEE,0.02
2012-07-03,LEN,0.02
2012-07-03,LIVE,0.02
2012-07-03,LQDT,0.02
2012-07-03,MBWM,0.02
2012-07-03,MNST,0.02
2012-07-03,MYE,0.02
2012-07-03,OMER,0.02
2012-07-03,PATK,0.02
2012-07-03,PDFS,0.02
2012-07-03,PEBO,0.02
2012-07-03,QRHC,0.02
2012-07-03,REGN,0.02
2012-07-03,RGR,0.02
2012-07-03,SBFG,0.02
2012-07-03,SGLY,0.02
2012-07-03,SNFCA,0.02
2012-07-03,SPSC,0.02
2012-07-03,SWBI,0.02
2012-07-03,SYPR,0.02
2012-07-03,THR,0.02
2012-07-03,TJX,0.02
2012-07-03,TREE,0.02
2012-07-03,UFPI,0.02
2012-08-01,AAPL,-0.02
2012-08-01,ALGT,0.02
2012-08-01,ALLT,0.02
2012-08-01,ALNY,0.02
2012-08-01,AMTX,-0.02
2012-08-01,BBSI,0.02
2012-08-01,BLDR,-0.02
2012-08-01,BSET,0.02
2012-08-01,CBAN,-0.02
2012-08-01,CPSS,0.02
2012-08-01,CRI,-0.02
2012-08-01,EDV,-0.02
2012-08-01,FUN,0.02
2012-08-01,GSBC,0.02
2012-08-01,INOD,-0.02
2012-08-01,KNDI,-0.02
2012-08-01,LEE,-0.02
2012-08-01,MYE,-0.02
2012-08-01,PDFS,-0.02
2012-08-01,PLBC,0.02
2012-08-01,ROST,0.02
2012-08-01,SGLY,-0.02
2012-08-01,SHW,0.02
2012-08-01,SPB,0.02
2012-08-01,SSYS,0.02
2012-08-01,STX,0.02
2012-08-01,TCI,0.02
2012-08-01,THR,-0.02
2012-08-01,TJX,-0.02
2012-08-01,UFPI,-0.02
2012-09-04,AEO,0.02
2012-09-04,ALGT,-0.02
2012-09-04,ASGN,0.02
2012-09-04,AWRE,-0.02
2012-09-04,BBSI,-0.02
2012-09-04,BLDR,0.02
2012-09-04,BSET,-0.02
2012-09-04,CFFI,-0.02
2012-09-04,EXP,0.02
2012-09-04,EXPE,-0.02
2012-09-04,FONR,-0.02
2012-09-04,FUN,-0.02
2012-09-04,GAP,0.02
2012-09-04,GSBC,-0.02
2012-09-04,IMOS,0.02
2012-09-04,JBSS,-0.02
2012-09-04,KINS,-0.02
2012-09-04,LEE,0.02
2012-09-04,LEN-B,0.02
2012-09-04,LPX,0.02
2012-09-04,MHO,0.02
2012-09-04,MNST,-0.02
2012-09-04,MOV,0.02
2012-09-04,MTH,0.02
2012-09-04,PCRX,0.02
2012-09-04,PDFS,0.02
2012-09-04,PEBK,0.02
2012-09-04,PHM,0.02
2012-09-04,PLBC,-0.02
2012-09-04,QRHC,-0.02
2012-09-04,RETL,0.02
2012-09-04,RGR,-0.02
2012-09-04,ROST,-0.02
2012-09-04,SBET,0.02
2012-09-04,SHW,-0.02
2012-09-04,SPB,-0.02
2012-09-04,SPSC,-0.02
2012-09-04,SRPT,0.02
2012-09-04,STC,0.02
2012-09-04,TCI,-0.02
2012-10-02,AEO,-0.02
2012-10-02,ALGN,0.02
2012-10-02,AMN,0.02
2012-10-02,APOG,0.02
2012-10-02,AWRE,0.02
2012-10-02,BNBX,0.02
2012-10-02,BZH,0.02
2012-10-02,CLDX,0.02
2012-10-02,DVAX,0.02
2012-10-02,DXPE,0.02
2012-10-02,EQIX,-0.02
2012-10-02,FTK,0.02
2012-10-02,GAP,-0.02
2012-10-02,HAIN,-0.02
2012-10-02,HOV,0.02
2012-10-02,HSTM,-0.02
2012-10-02,KBH,0.02
2012-10-02,LAD,0.02
2012-10-02,LEE,-0.02
2012-10-02,LQDT,-0.02
2012-10-02,LXRX,0.02
2012-10-02,LYB,0.02
2012-10-02,MBWM,-0.02
2012-10-02,OMER,-0.02
2012-10-02,PCRX,-0.02
2012-10-02,PEBK,-0.02
2012-10-02,PEBO,-0.02
